Date,Close/Last,Volume,Open,High,Low
10/28/2022,1648.3,186519,1667.2,1670.9,1640.7
10/27/2022,1668.8,180599,1668.8,1674.8,1658.5
10/26/2022,1669.2,183453,1657.7,1679.4,1653.8
10/25/2022,1658,178706,1654.5,1666.8,1641.2
10/24/2022,1654.1,167448,1662.9,1675.5,1648
10/21/2022,1656.3,265985,1632.4,1663.1,1621.1
10/20/2022,1636.8,159797,1634.6,1650.3,1626.3
10/19/2022,1634.2,172551,1657.2,1659.8,1632.2
10/18/2022,1655.5,N/A,1655.5,1655.5,1655.5
10/17/2022,1664,144374,1649.9,1674.3,1649.1
10/14/2022,1672.9,N/A,1672.9,1672.9,1672.9
10/13/2022,1672.9,N/A,1672.9,1672.9,1672.9
10/12/2022,1677.5,127689,1673.4,1685.1,1668
10/11/2022,1686,166065,1675.6,1691.3,1667.5
10/10/2022,1675.2,152626,1703.4,1707.4,1672.5
10/07/2022,1709.3,153813,1721,1722.8,1698.4
10/06/2022,1720.9,134333,1725.5,1734.2,1714.8
10/05/2022,1720.8,168000,1734.4,1736.6,1708.8
10/04/2022,1730.5,199426,1708.4,1738.7,1704
10/03/2022,1702,207858,1670.5,1710.4,1666.5
09/30/2022,1672,173144,1669.5,1684.4,1667.5
09/29/2022,1668.6,196633,1669,1673.1,1649.3
09/28/2022,1670,270952,1636.5,1671.6,1622.2
09/27/2022,1636.2,192565,1629.2,1650.1,1628.7
09/26/2022,1633.4,213873,1651,1657.2,1627.7
09/23/2022,1655.6,236570,1680.1,1685,1646.6
09/22/2022,1681.1,232407,1682.8,1693.5,1663.3
09/21/2022,1675.7,221902,1673.2,1696.9,1661.3
09/20/2022,1671.1,140765,1684.9,1688.8,1668.1
09/19/2022,1678.2,138336,1685.4,1688.8,1667.6
09/16/2022,1683.5,209506,1673.7,1689.9,1661.9
09/15/2022,1677.3,257001,1707.2,1707.8,1668.9
09/14/2022,1709.1,159797,1711.6,1717.3,1703.3
09/13/2022,1717.4,228966,1736,1742.9,1706.7
09/12/2022,1740.6,152588,1728.4,1746.4,1722.3
09/09/2022,1728.6,151576,1719.6,1740.5,1719.4
09/08/2022,1720.2,182302,1729.5,1739.4,1713.7
09/07/2022,1727.8,169690,1712.9,1731.2,1701.7
09/06/2022,1712.9,202021,1724.2,1737.4,1710.6
09/02/2022,1722.6,171140,1707.8,1729.5,1705.9
