test_num, lookback, epoch, hidden_size, eval_after, training_time, final_loss

1       , 3       , 3999 , 128        , 50        , ?            , 1302805.750000	
2       , 3       , 3999 , 128        , 50        , ?            , 1459050.000000	#sa atributom date(enkodiran timestamp) u x features
3       , 30      , 3999 , 128        , 50        , ?            , 1290346.875000
4       , 3       , 4000 , 256        , 50        ,3.08		 , 959903.500000
5       , 3       , 4000 , 512        , 50        ,9.29           , 366886.843750
6       , 3       , 4000 , 512        , 25        ,9.28           , 357771.687500
6       , 3       , 8000 , 512        , 100       ,18.89          , 23410.601562
7       , 3       , 8000 , 512        , 100       ,2.45           , 939762.812500	#gold2 podaci (prvih 200)
8       , 3       , 4000 , 1028       , 400       ,29.59          , 30245.693359
8       , ?       , 1000 , 128        , 100       ,0.11           , 0.000067
9       , ?       , 500  , 64         , 100       ,0.03           , 0.000149
9       , ?       , 500  , 64         , 100       ,0.03           , 0.000170
10      , ?       , 500  , 64         , 100       ,0.03           , 0.000108
11      , ?       , 500  , 64         , 100       ,0.03           , 0.000156
11      , ?       , 500  , 64         , 100       ,0.03           , 0.000158
11      , ?       , 500  , 64         , 100       ,0.03           , 0.000155
11      , ?       , 500  , 64         , 100       ,0.01           , 0.000099
12      , ?       , 500  , 64         , 100       ,19.79          , 0.000575
13      , 1095       , 100  , 64         , 10        ,4.16           , 0.001971
